expenditure,wealth,income,pop,pop_dens,perc_intergov,grow_rate
405,126647,22705,26104,1106,7.6,5.3
638,147322,45134,16893,731,6,7.9
861,183946,42612,10180,422,7.3,6.3
798,155052,27530,4756,222,5,3.4
451,89243,24924,4693,1805,12.3,32.7
680,215277,48021,4658,204,12.1,13.5
57,170195,34082,5371,4883,29.8,-54.1
356,123811,25637,16833,561,11.3,23.5
476,87520,21901,33763,920,8.4,4.6
118,24305,10780,1896,43,28,11.7
53,7744,2884,5097,150,26.3,56.7
189,28848,12819,3077,56,25.6,5.4
142,39761,12104,2011,56,17.1,13.5
255,28377,10487,1304,50,29.9,17.8
271,20744,8840,1143,31,25.2,-5
165,27407,10192,1116,33,29.5,9.8
396,28300,8868,475,31,20.9,-11.8
182,24899,10334,2182,46,32.9,-3.3
315,32294,11124,1054,30,28.1,0
357,27559,11321,1117,31,25.6,1.1
162,38606,13047,1113,33,27.3,-8.5
248,26006,10142,712,24,25.8,11.7
206,27073,11341,2456,52,18.5,-5.9
114,29185,13006,1523,49,20.9,3.9
434,33139,9983,818,23,39,17.8
348,70896,11464,1216,34,14.8,9.5
153,29379,11580,2460,59,15.6,20.1
276,33809,9650,1153,29,29.3,17.5
166,57315,11629,3759,64,15.7,-3.2
416,56460,12475,1273,41,18.1,10.8
87,62783,11689,1832,50,20,19.1
204,22310,10216,1653,44,18.6,12.6
124,40940,9912,1640,52,20.5,20.8
294,107898,10329,919,41,20.6,-5.6
NA,116000,28300,10685,249,6.1,2.5
NA,155034,25000,29246,656,7,2.5
